SaleID,RetailerCountry,OrderMethod,RetailerType,ProductLine,ProductType,Product,Year,Quarter,Revenue,Quantity,GrossMargin
SaleID_1,United States,Fax,Outdoors Shop,Personal Accessories,Cooking Gear,TrailChef Deluxe Cook Set,2018,Q1 2018,59728.66,491,0.35754797
SaleID_2,United States,Fax,Outdoors Shop,Sports Equipment,Cooking Gear,TrailChef Double Flame,2018,Q1 2018,36050.32,254,0.4842745
SaleID_3,United States,Fax,Outdoors Shop,,Tents,Star Dome,2018,Q1 2018,90040.48,149,
SaleID_4,United States,Fax,Outdoors Shop,,Tents,Star Gazer 2,2018,Q1 2018,,305,0.29293788
SaleID_5,United States,,Outdoors Shop,Personal Accessories,First Aid,Compact Relief Kit,2018,Q1 2018,,182,0.61070985
SaleID_6,United States,Fax,Outdoors Shop,Camping Equipment,First Aid,Aloe Relief,2018,Q1 2018,811.28,138,0.64288719
SaleID_7,United States,Phone,Mall,Camping Equipment,Watches,Infinity,2018,Q1 2018,11100,52,0.48472727
SaleID_8,United States,Phone,Mall,Camping Equipment,Watches,TX,2018,Q1 2018,14104,74,0.47098543
SaleID_9,United States,Phone,Mall,Camping Equipment,Watches,Legend,2018,Q1 2018,14027,60,0.45401666
SaleID_10,United States,Mail,Department Store,Personal Accessories,Sunscreen,Sun Shield,2018,Q1 2018,7456.48,1266,0.5357732
SaleID_11,United States,Mail,Department Store,Mountaineering Equipment,First Aid,Aloe Relief,2018,Q1 2018,811.28,138,0.64288719
SaleID_12,United States,Mail,Department Store,Outdoor Protection,Irons,Hailstorm Steel Irons,2018,Q1 2018,87422.62,239,0.41018978
SaleID_13,United States,Web,Mall,Camping Equipment,Eyewear,Trendi,2018,Q1 2018,21678.7,431,0.40525921
SaleID_14,United States,Web,Mall,Sports Equipment,Eyewear,Zone,2018,Q1 2018,70564.7,2304,0.33717588
SaleID_15,United States,Web,Mall,Personal Accessories,Eyewear,Hawk Eye,2018,Q1 2018,29584,730,0.41053453
SaleID_16,United States,Web,Mall,Camping Equipment,Knives,Max Gizmo,2018,Q1 2018,12362.2,323,0.54979058
SaleID_17,United States,Web,Mall,Camping Equipment,Knives,Pocket Gizmo,2018,Q1 2018,16911.6,1380,0.60992148
SaleID_18,United States,Web,Mall,Personal Accessories,Binoculars,Opera Vision,2018,Q1 2018,15170,139,0.551
SaleID_19,United States,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Extreme,2018,Q1 2018,169077.94,680,0.40814629
SaleID_20,United States,Sales visit,Outdoors Shop,Camping Equipment,Rope,Husky Rope 200,2018,Q1 2018,115762.72,216,0.32477575
SaleID_21,United States,Sales visit,Outdoors Shop,Outdoor Protection,Safety,Granite Climbing Helmet,2018,Q1 2018,97970.92,1409,0.25468085
SaleID_22,United States,Sales visit,Outdoors Shop,Camping Equipment,Safety,Husky Harness,2018,Q1 2018,69448.5,1137,0.29363339
SaleID_23,United States,Sales visit,Outdoors Shop,Camping Equipment,Safety,Husky Harness Extreme,2018,Q1 2018,155406.8,1504,0.48843327
SaleID_24,United States,Sales visit,Outdoors Shop,Sports Equipment,Safety,Granite Signal Mirror,2018,Q1 2018,16981.48,524,0.52422387
SaleID_25,United States,Sales visit,Outdoors Shop,Camping Equipment,Climbing Accessories,Granite Carabiner,2018,Q1 2018,51961.68,13758,0.49012174
SaleID_26,United States,Other,Outdoors Shop,Mountaineering Equipment,Tools,Granite Ice,2018,Q1 2018,25442.4,339,0.49178191
SaleID_27,United States,Other,Outdoors Shop,Personal Accessories,Tools,Granite Axe,2018,Q1 2018,36464.8,949,0.50166667
SaleID_28,United States,Other,Outdoors Shop,Mountaineering Equipment,Tools,Granite Extreme,2018,Q1 2018,45671.2,608,0.39138298
SaleID_29,United States,Other,Outdoors Shop,Camping Equipment,Watches,Mountain Man Digital,2018,Q1 2018,4216.72,104,0.51445986
SaleID_30,United States,Other,Outdoors Shop,Personal Accessories,Watches,Mountain Man Deluxe,2018,Q1 2018,9375.86,123,0.50126011
SaleID_31,United States,Other,Outdoors Shop,Personal Accessories,Insect Repellents,BugShield Extreme,2018,Q1 2018,24715.78,3743,0.64221884
SaleID_32,United States,Other,Outdoors Shop,Mountaineering Equipment,First Aid,Compact Relief Kit,2018,Q1 2018,3661.32,160,0.61070985
SaleID_33,Canada,Fax,Outdoors Shop,Outdoor Protection,Watches,Venue,2018,Q1 2018,,167,0.42863014
SaleID_34,Canada,Fax,Outdoors Shop,Personal Accessories,Watches,TX,2018,Q1 2018,21060,116,0.46054389
SaleID_35,Canada,Fax,Outdoors Shop,Camping Equipment,Watches,Legend,2018,Q1 2018,3840,19,0.48345455
SaleID_36,Canada,Fax,Outdoors Shop,Mountaineering Equipment,Watches,Kodiak,2018,Q1 2018,33545.2,273,0.46531676
SaleID_37,Canada,Fax,Outdoors Shop,Mountaineering Equipment,Eyewear,Capri,2018,Q1 2018,23884.3,623,0.35070668
SaleID_38,Canada,E-mail,Mall,Outdoor Protection,Navigation,Trail Master,2018,Q1 2018,9225,27,0.3592274
SaleID_39,Canada,E-mail,Mall,Mountaineering Equipment,Woods,Hailstorm Titanium Woods Set,2018,Q1 2018,72984.02,63,0.43250716
SaleID_40,Canada,E-mail,Mall,Outdoor Protection,Woods,Lady Hailstorm Steel Woods Set,2018,Q1 2018,35202.97,43,0.45845066
SaleID_41,Canada,E-mail,Mall,Mountaineering Equipment,Putters,Course Pro Putter,2018,Q1 2018,36875.25,511,0.52695502
SaleID_42,Canada,E-mail,Mall,Camping Equipment,Putters,Blue Steel Max Putter,2018,Q1 2018,29643.46,176,0.46933212
SaleID_43,Canada,E-mail,Department Store,Personal Accessories,Cooking Gear,TrailChef Water Bag,2018,Q1 2018,12688.86,2013,0.54194888
SaleID_44,Canada,Web,Sports Store,Camping Equipment,Knives,Edge Extreme,2018,Q1 2018,41166.15,367,0.29895209
SaleID_45,Canada,Web,Sports Store,Sports Equipment,Knives,Bear Edge,2018,Q1 2018,32326,822,0.41127226
SaleID_46,Canada,Web,Sports Store,Camping Equipment,Knives,Bear Survival Edge,2018,Q1 2018,13293.6,153,0.49497756
SaleID_47,Canada,Web,Sports Store,Camping Equipment,Knives,Max Gizmo,2018,Q1 2018,6021,157,0.54881101
SaleID_48,Canada,Web,Sports Store,Sports Equipment,Knives,Pocket Gizmo,2018,Q1 2018,51815.8,4241,0.61459705
SaleID_49,Canada,Web,Sports Store,Camping Equipment,Binoculars,Seeker 35,2018,Q1 2018,17914.6,182,0.29069112
SaleID_50,Canada,Web,Sports Store,Mountaineering Equipment,Binoculars,Seeker 50,2018,Q1 2018,11067.22,89,0.27558782
SaleID_51,Canada,Web,Sports Store,Camping Equipment,Binoculars,Seeker Extreme,2018,Q1 2018,30149.25,177,0.46186652
SaleID_52,Canada,Web,Sports Store,Personal Accessories,Binoculars,Seeker Mini,2018,Q1 2018,24309.43,303,0.51267313
SaleID_53,Canada,Web,Sports Store,Camping Equipment,Binoculars,Opera Vision,2018,Q1 2018,13850,127,0.554
SaleID_54,Canada,Web,Sports Store,Camping Equipment,Binoculars,Ranger Vision,2018,Q1 2018,12260,78,0.42500658
SaleID_55,Canada,Web,Sports Store,Mountaineering Equipment,Navigation,Glacier Basic,2018,Q1 2018,52851.88,1664,0.37988028
SaleID_56,Canada,Web,Sports Store,Camping Equipment,Navigation,Glacier Deluxe,2018,Q1 2018,7895.9,88,0.38970215
SaleID_57,Canada,Web,Sports Store,Mountaineering Equipment,Navigation,Glacier GPS,2018,Q1 2018,46076.87,421,0.29415201
SaleID_58,Canada,Sales visit,Outdoors Shop,Personal Accessories,Watches,Mountain Man Digital,2018,Q1 2018,2913.82,71,0.51956351
SaleID_59,Canada,Sales visit,Outdoors Shop,Sports Equipment,Watches,Mountain Man Deluxe,2018,Q1 2018,11424.91,149,0.50377081
SaleID_60,Canada,Sales visit,Outdoors Shop,Sports Equipment,Eyewear,Polar Sun,2018,Q1 2018,3253.84,53,0.58713454
SaleID_61,Canada,Sales visit,Outdoors Shop,Personal Accessories,Eyewear,Polar Ice,2018,Q1 2018,2845.6,28,0.53945076
SaleID_62,Canada,Sales visit,Outdoors Shop,Personal Accessories,Eyewear,Polar Extreme,2018,Q1 2018,1731.3,13,0.5211261
SaleID_63,Canada,Sales visit,Outdoors Shop,Mountaineering Equipment,Knives,Edge Extreme,2018,Q1 2018,20126.78,180,0.29895209
SaleID_64,Canada,Sales visit,Outdoors Shop,Outdoor Protection,Binoculars,Seeker 50,2018,Q1 2018,10562.98,85,0.27558782
SaleID_65,Canada,Sales visit,Outdoors Shop,Sports Equipment,Binoculars,Seeker Extreme,2018,Q1 2018,9372.34,56,0.46186652
SaleID_66,Canada,Sales visit,Outdoors Shop,Personal Accessories,Navigation,Glacier Deluxe,2018,Q1 2018,8077.2,90,0.38970215
SaleID_67,Canada,Sales visit,Outdoors Shop,Personal Accessories,Navigation,Glacier GPS,2018,Q1 2018,23801.68,218,0.29415201
SaleID_68,Canada,Sales visit,Outdoors Shop,Personal Accessories,Navigation,Glacier GPS Extreme,2018,Q1 2018,50126.96,150,0.4879303
SaleID_69,Canada,Sales visit,Outdoors Shop,Camping Equipment,Insect Repellents,BugShield Extreme,2018,Q1 2018,32897.59,4961,0.64409568
SaleID_70,Canada,Sales visit,Outdoors Shop,Sports Equipment,Sunscreen,Sun Shelter Stick,2018,Q1 2018,4069,812,0.61
SaleID_71,Austria,Web,Mall,Personal Accessories,Putters,Blue Steel Max Putter,2018,Q2 2018,46962.04,278,0.46933212
SaleID_72,Austria,Web,Mall,Camping Equipment,Golf Accessories,Course Pro Golf and Tee Set,2018,Q2 2018,10349.07,990,0.74008283
SaleID_73,Austria,Web,Mall,Sports Equipment,Golf Accessories,Course Pro Umbrella,2018,Q2 2018,14332.35,1147,
SaleID_74,Austria,Web,Mall,Mountaineering Equipment,Golf Accessories,Course Pro Golf Bag,2018,Q2 2018,23187.68,114,0.62336955
SaleID_75,Austria,Web,Mall,Camping Equipment,Golf Accessories,Course Pro Gloves,2018,Q2 2018,3827.5,357,0.78047619
SaleID_76,Austria,Web,Department Store,Sports Equipment,Watches,Venue,2018,Q2 2018,12218,168,0.42205479
SaleID_77,Austria,Web,Department Store,Camping Equipment,Watches,Infinity,2018,Q2 2018,24760,108,0.44783049
SaleID_78,Austria,Web,Department Store,Mountaineering Equipment,Watches,Sam,2018,Q2 2018,11818.9,263,0.39218263
SaleID_79,Austria,Web,Warehouse Store,Mountaineering Equipment,Lanterns,Firefly Multi-light,2018,Q2 2018,3637.36,138,0.32641676
SaleID_80,Austria,Web,Warehouse Store,Personal Accessories,Lanterns,EverGlow Single,2018,Q2 2018,12065.92,516,0.3656701
SaleID_81,Austria,Web,Warehouse Store,Camping Equipment,Lanterns,EverGlow Kerosene,2018,Q2 2018,4954.44,159,0.36316947
SaleID_82,Austria,Web,Outdoors Shop,Personal Accessories,Watches,TX,2018,Q2 2018,103824,543,0.46542748
SaleID_83,Austria,Web,Outdoors Shop,Camping Equipment,Watches,Legend,2018,Q2 2018,59319.8,232,0.45312882
SaleID_84,Austria,Web,Outdoors Shop,Personal Accessories,Watches,Kodiak,2018,Q2 2018,15997,131,0.45947097
SaleID_85,Austria,Web,Outdoors Shop,Camping Equipment,Eyewear,Polar Sun,2018,Q2 2018,6495.4,106,0.58475686
SaleID_86,Austria,Web,Outdoors Shop,Personal Accessories,Eyewear,Polar Extreme,2018,Q2 2018,1434.7,11,0.5211261
SaleID_87,Austria,Web,Sports Store,Personal Accessories,Tents,Star Peg,2018,Q2 2018,3325.94,1599,
